date,spx,vix
1990-01-02,359.6900,17.2400
1990-01-03,358.7600,18.1900
1990-01-04,355.6700,19.2200
1990-01-05,352.2000,20.1100
1990-01-08,353.7900,20.2600
1990-01-09,349.6200,22.2000
1990-01-10,347.3100,22.4400
1990-01-11,348.5300,20.0500
1990-01-12,339.9300,24.6400
1990-01-15,337.0000,26.3400
1990-01-16,340.7500,24.1800
1990-01-17,337.4000,24.1600
1990-01-18,338.1900,24.3400
1990-01-19,339.1500,22.5000
1990-01-22,330.3800,26.7000
1990-01-23,331.6100,24.7200
1990-01-24,330.2600,25.3900
1990-01-25,326.0800,25.6300
1990-01-26,325.8000,26.2800
1990-01-29,325.2000,26.4400
1990-01-30,322.9800,27.2500
1990-01-31,329.0800,25.3600
1990-02-01,328.7900,24.8700
1990-02-02,330.9200,24.3200
1990-02-05,331.8500,24.5400
1990-02-06,329.6600,24.6900
1990-02-07,333.7500,24.2900
1990-02-08,332.9600,23.7700
1990-02-09,333.6200,23.6900
1990-02-12,330.0800,24.3800
1990-02-13,331.0200,23.7600
1990-02-14,332.0100,22.0500
1990-02-15,334.8900,19.7100
1990-02-16,332.7200,20.7800
1990-02-20,327.9900,22.7800
1990-02-21,327.6700,23.8900
1990-02-22,325.7000,22.5400
1990-02-23,324.1500,23.6900
1990-02-26,328.6700,23.5600
1990-02-27,330.2600,22.6900
1990-02-28,331.8900,21.9900
1990-03-01,332.7400,21.9000
1990-03-02,335.5400,21.3400
1990-03-05,333.7400,22.0300
1990-03-06,337.9300,20.5500
1990-03-07,336.9500,19.1000
1990-03-08,340.2700,19.7400
1990-03-09,337.9300,20.3000
1990-03-12,338.6700,20.0700
1990-03-13,336.0000,21.0500
1990-03-14,336.8700,19.6500
1990-03-15,338.0700,18.8100
1990-03-16,341.9100,17.6200
1990-03-19,343.5300,18.2900
1990-03-20,341.5700,19.0600
1990-03-21,339.7400,20.1000
1990-03-22,335.6900,22.7400
1990-03-23,337.2200,20.4600
1990-03-26,337.6300,19.5900
1990-03-27,341.5000,21.0100
1990-03-28,342.0000,19.7700
1990-03-29,340.7900,18.4600
1990-03-30,339.9400,19.7300
1990-04-02,338.7000,22.8400
1990-04-03,343.6400,20.4400
1990-04-04,341.0900,22.0300
1990-04-05,340.7300,21.2100
1990-04-06,340.0800,21.7600
1990-04-09,341.3700,22.3000
1990-04-10,342.0700,21.6900
1990-04-11,341.9200,17.7300
1990-04-12,344.3400,19.8000
1990-04-16,344.7400,20.7500
1990-04-17,344.6800,20.3800
1990-04-18,340.7200,22.6700
1990-04-19,338.0900,22.4600
1990-04-20,335.1200,23.3300
1990-04-23,331.0500,24.1600
1990-04-24,330.3600,21.7000
1990-04-25,332.0300,20.8600
1990-04-26,332.9200,20.2500
1990-04-27,329.1100,22.1900
1990-04-30,330.8000,19.5200
1990-05-01,332.2500,18.4300
